cshapes_cntry_name,year,sum
Afghanistan,1977,1
Afghanistan,1978,1
Afghanistan,1979,1
Afghanistan,1980,1
Afghanistan,1981,1
Afghanistan,1982,1
Afghanistan,1983,1
Afghanistan,1984,1
Afghanistan,1985,1
Afghanistan,1986,1
Afghanistan,1987,1
Afghanistan,1988,1
Afghanistan,1989,1
Afghanistan,1990,1
Afghanistan,1991,1
Afghanistan,1992,1
Afghanistan,1993,1
Afghanistan,1994,1
Afghanistan,1995,1
Afghanistan,1996,1
Afghanistan,1997,1
Afghanistan,1998,1
Afghanistan,1999,1
Afghanistan,2000,1
Afghanistan,2001,1
Afghanistan,2002,1
Afghanistan,2003,1
Afghanistan,2004,1
Afghanistan,2005,1
Afghanistan,2006,2
Afghanistan,2007,2
Afghanistan,2008,2
Afghanistan,2009,2
Afghanistan,2010,2
Afghanistan,2011,2
Afghanistan,2012,3
Afghanistan,2013,3
Albania,1992,2
Albania,1993,2
Albania,1994,2
Albania,1995,2
Albania,1996,3
Albania,1997,3
Albania,1998,3
Albania,1999,4
Albania,2000,4
Albania,2001,4
Albania,2002,4
Albania,2003,4
Albania,2004,4
Albania,2005,4
Albania,2006,5
Albania,2007,5
Albania,2008,5
Albania,2009,5
Albania,2010,5
Albania,2011,5
Albania,2012,5
Albania,2013,5
Algeria,1988,1
Algeria,1989,1
Algeria,1990,1
Algeria,1991,1
Algeria,1992,1
Algeria,1993,1
Algeria,1994,1
Algeria,1995,1
Algeria,1996,1
Algeria,1997,1
Algeria,1998,1
Algeria,1999,1
Algeria,2000,1
Algeria,2001,1
Algeria,2002,1
Algeria,2003,1
Algeria,2004,1
Algeria,2005,1
Algeria,2006,1
Algeria,2007,1
Algeria,2008,1
Algeria,2009,1
Algeria,2010,1
Algeria,2011,1
Algeria,2012,1
Algeria,2013,1
Argentina,1967,1
Argentina,1968,4
Argentina,1969,5
Argentina,1970,6
Argentina,1971,7
Argentina,1972,8
Argentina,1973,10
Argentina,1974,11
